Via,Departamento,gcd_departamento,Sector,Ubicacion,Latitud,Longitud,Lugar_key
25B01,Antioquia,5,La Pintada - Penalisa,KM 03 RUTA 25B01 Via Pintada – Bolombolo,5.749465359,-75.62728596,5.749465359-75.62728596
2509,Antioquia,5,La Pintada - Primavera,KM 38+800 RUTA  2509; Via Medellin - La Pintada,5.968901178,-75.59407236,5.968901178-75.59407236
6003,Antioquia,5,La Mansa - Primavera,Km. 89+396 Ruta Nacional 6003,6.046953761,-75.6598771,6.046953761-75.6598771
6005,Antioquia,5,Santuario - Cruce Ruta 45 (Cano Alegre),KM 03+100 RUTA 6005 Via Santuario - Puerto Triunfo,6.124607098,-75.24303963,6.124607098-75.24303963
5601,Antioquia,5,Glorieta Las Palmas - La Union,Km. 5 RUTA 5601 Via Medellin -  La Ceja,6.150673018,-75.53125739,6.150673018-75.53125739
,Antioquia,5,Puente Aurra - Medellin,Oriente Occidente Km 39+600 Occidente Oriente Km 44+800; via Santa Fe de Antioquia Medellin,6.29706501,-75.65404896,6.29706501-75.65404896
,Antioquia,5,Puente Aurra - Medellin,Oriente Occidente Km 39+600 Occidente Oriente Km 44+800,6.326315113,-75.68860656,6.326315113-75.68860656
6004,Antioquia,5,Medellin - Santuario,Km 7 Autopista Medellin - Bogota,6.327897805,-75.51567505,6.327897805-75.51567505
6206,Antioquia,5,Cisneros - Puerto Berrio (Incluye el Puente sobre el Rio Magdalena),Via Alto de Dolores - Puerto Berrio,6.496649662,-74.50132825,6.496649662-74.50132825
6206,Antioquia,5,Cisneros - Alto de Dolores,KM 03+000 RUTA 6206. Via Cisneros - Puerto Berrio,6.536330315,-75.07477738,6.536330315-75.07477738
2516,Atlantico,8,Palmar de Varela - Barranquilla,Via Oriental Km 55,10.79958164,-74.75900513,10.79958164-74.75900513
9006,Atlantico,8,Sabanalarga - Barranquilla,Via Cordialidad Km 98,10.83754487,-74.9021277,10.83754487-74.9021277
90A01,Atlantico,8,Cartagena - Lomita Arena,Via al Mar Km 93,10.96756325,-74.95610546,10.96756325-74.95610546
90A01,Atlantico,8,Cartagena - Lomita Arena,Via al mar Km 101,11.01269973,-74.88958809,11.01269973-74.88958809
2515,Bolivar,13,Puerta de Hierro - Carreto,Km 70+500 Troncal de Occidente Ruta 2515 Via Sincelejo – Calamar,9.681300323,-75.12542106,9.681300323-75.12542106
9005,Bolivar,13,Cruz del Viso - Cartagena,Km 61+400 Ruta 9005 Troncal de Occidente,10.13613313,-75.26428976,10.13613313-75.26428976
2515,Bolivar,13,Carreto - Calamar,Km 131 Ruta 2515 Troncal de Occidente,10.20812679,-74.94499546,10.20812679-74.94499546
90BLB,Bolivar,13,Variante de Gambote,Variante de Gambote,10.24342537,-75.44394476,10.24342537-75.44394476
9005,Bolivar,13,Cruz del Viso - Cartagena,Km 60+00 y 68+00 Ruta 9005 Troncal de Occidente,10.35697545,-75.44341614,10.35697545-75.44341614
9006,Bolivar,13,Sabanalarga - Barranquilla,Km 19+400 Cartagena - Santa Catalina Via La Cordialidad,10.54696941,-75.36516595,10.54696941-75.36516595
90A01,Bolivar,13,Cartagena - Lomita Arena,Km 16 Via Cartagena  - Barranquilla,10.57453506,-75.45055922,10.57453506-75.45055922
5502,Boyaca,15,Tunja - Duitama,Via Tunja – Paipa Km 12+200 Jurisdiccion Combita,5.6568966,-73.27843908,5.6568966-73.27843908
45A05,Boyaca,15,Ubate - Puente Nacional,Via Ubate Puente Nacional  Km 66+200 Jurisdiccion Saboya,5.727864796,-73.74466588,5.727864796-73.74466588
2902,Caldas,17,La Romelia - Rio Campo Alegre,Via Pereira – Manizales Km. 20 + 200,4.939047486,-75.61660194,4.939047486-75.61660194
2507,Caldas,17,La Virginia - Remolinos,Via Y de Cerritos  - Cauya PR2507 Km 24,4.999048816,-75.85886931,4.999048816-75.85886931
29CL03-1,Caldas,17,Club Campestre - La Trinidad,Club Campestre – La Trinidad Km. 1 + 200,5.027053239,-75.58739122,5.027053239-75.58739122
29CL03,Caldas,17,Chinchina - La Manuela,Cruce Guayacanes – La Manuela Km 6,5.048648256,-75.59882027,5.048648256-75.59882027
2508,Caldas,17,La Felisa - La Pintada,Via La Felisa – La Pintada,5.391597876,-75.59999513,5.391597876-75.59999513
6511,Casanare,85,Barranca de Upia - Monterrey,Villanueva - Monterrey Km.15+000,4.678585529,-72.9437707,4.678585529-72.9437707
2504,Cauca,19,Popayan - Jamundi,Kilometro 31+100 Via Panamericana Popayan – Cali,2.701690113,-76.53681132,2.701690113-76.53681132
2504,Cauca,19,Popayan - Jamundi,Kilometro 91 Via Panamericana Jurisdiccion del Municipio de Villa Rica,3.151233082,-76.46003183,3.151233082-76.46003183
4514,Cesar,20,San Alberto - La Mata,Km 28+500 Via San Alberto – Aguaclara,8.09234873,-73.56001492,8.09234873-73.56001492
7007,Cesar,20,Aguaclara - Rio de Oro,Km 14 Via Aguasclaras – Ocana,8.23123833,-73.49857234,8.23123833-73.49857234
7006,Cesar,20,Gamarra - Aguachica,,8.329119646,-73.69204914,8.329119646-73.69204914
4515,Cesar,20,La Mata - San Roque,Km 28+500 Via La Mata – San Roque,8.852803854,-73.66972216,8.852803854-73.66972216
4901,Cesar,20,San Roque - La Paz,Tramo que cubre: Via Rincon Hondo - Aguztin Codazzi,9.431032001,-73.47355215,9.431032001-73.47355215
4516,Cesar,20,San Roque - Bosconia,Km 42 Via San Roque - Bosconia,9.638016517,-73.63939838,9.638016517-73.63939838
4517,Cesar,20,Bosconia - Rio Ariguani,Km 10+300 Via Bosconia – Rio Ariguani,10.0603631,-73.92382887,10.0603631-73.92382887
4901,Cesar,20,San Roque - La Paz,Tramo que cubre:Via Aguztin Codazzi - San Diego,10.12172583,-73.23863778,10.12172583-73.23863778
8003,Cesar,20,Pueblo Nuevo – Bosconia – Valledupar,Km 87 Via Pueblo Nuevo – Valledupar,10.2597059,-73.43086954,10.2597059-73.43086954
2513,Cordoba,23,Caucasia - Planeta Rica,Via Caucasia – Planeta Rica  Km 12,8.031280606,-75.30171963,8.031280606-75.30171963
