Peaje_key,Admon,Nombre,Nombre_proyecto,Responsable,Telefono,Telefono_gerente,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,eje_adicional,eje_adicional_2
EL PLACER-Concesionaria Víal Uníon del Sur,Concesionaria Víal Uníon del Sur,EL PLACER,RUMICHACA - PASTO,Concesión ANI,3173682092 – 3173310921,"Móvil1: 3174275839, atiende los municipios Ipiales, Contadero e Iles Móvil 2: 3174042366, atiende a los Municipios de Imués, Yacuanquer, Tangua y Pasto",9900,10400,22100,28800,33200,0,0,0,0,0,0
DAZA-INVIAS,INVIAS,DAZA,RUMICHACA - PASTO - CHACHAGUI,INVIAS,-1,-1,0,0,22200,29100,33600,0,0,0,0,9100,9400
CANO-INVIAS,INVIAS,CANO,RUMICHACA - PASTO - CHACHAGUI,INVIAS,-1,-1,10000,10700,0,0,0,0,0,0,0,9100,9400
ALTAMIRA-Concesión Aliadas para El Progreso,Concesión Aliadas para El Progreso,ALTAMIRA,SANTANA-MOCOA-NEIVA,Concesión ANI,320 995 5541,311 260 50 25  - #296,8500,9300,19500,24800,27900,0,0,0,0,8400,8700
TUNIA-INVIAS,INVIAS,TUNIA,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,INVIAS,-1,-1,8600,10300,27800,36300,41800,0,0,0,0,19800,10000
LOS CAUCHOS-Concesión Aliadas para El Progreso,Concesión Aliadas para El Progreso,LOS CAUCHOS,SANTANA-MOCOA-NEIVA,Concesión ANI,320 995 5541,311 260 50 25  - #296,8300,9000,19200,24400,27400,0,0,0,0,8400,8700
NEIVA-Concesión Autovía Neiva – Girardot,Concesión Autovía Neiva – Girardot,NEIVA,NEIVA - ESPINAL - GIRARDOT,Concesión ANI,3103424699 3153340727 – 3174340907,667 10 30,11700,13900,15600,19900,33300,42700,48600,0,0,0,0
VILLARICA-INVIAS,INVIAS,VILLARICA,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,INVIAS,-1,-1,8600,10300,27800,36300,41800,0,0,0,0,19000,9600
EL PATA-Concesión Autovía Neiva – Girardot,Concesión Autovía Neiva – Girardot,EL PATA,IP - NEIVA GIRARDOT,Concesión ANI,3103424699 3153340727 – 3174340907,667 10 30,11700,14100,15800,20200,34400,44200,50100,0,0,0,0
ESTAMBUL-INVIAS,INVIAS,ESTAMBUL,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,INVIAS,-1,-1,8700,10400,28100,36400,41900,0,0,0,0,19800,10000
CIAT-INVIAS,INVIAS,CIAT,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,INVIAS,-1,-1,8700,10400,28100,36400,41900,0,0,0,0,19800,10000
