Recaudo,Trafico,fk_peaje,fk_fecha,fk_lugar
1757557000,181944,EL PLACER-Concesionaria Víal Uníon del Sur,2016Abr,1.087284102-77.4086552
2114986700,218581,EL PLACER-Concesionaria Víal Uníon del Sur,2016Ago,1.087284102-77.4086552
2138665250,223790,EL PLACER-Concesionaria Víal Uníon del Sur,2016Dic,1.087284102-77.4086552
1912606260,208113,EL PLACER-Concesionaria Víal Uníon del Sur,2016Ene,1.087284102-77.4086552
1643486700,170098,EL PLACER-Concesionaria Víal Uníon del Sur,2016Feb,1.087284102-77.4086552
1595026500,171091,EL PLACER-Concesionaria Víal Uníon del Sur,2016Jul,1.087284102-77.4086552
1376947400,148897,EL PLACER-Concesionaria Víal Uníon del Sur,2016Jun,1.087284102-77.4086552
1882526400,196233,EL PLACER-Concesionaria Víal Uníon del Sur,2016Mar,1.087284102-77.4086552
1846765200,191710,EL PLACER-Concesionaria Víal Uníon del Sur,2016May,1.087284102-77.4086552
1843770600,191326,EL PLACER-Concesionaria Víal Uníon del Sur,2016Nov,1.087284102-77.4086552
1840207400,190771,EL PLACER-Concesionaria Víal Uníon del Sur,2016Oct,1.087284102-77.4086552
1775657600,183318,EL PLACER-Concesionaria Víal Uníon del Sur,2016Sep,1.087284102-77.4086552
1851303000,6044,EL PLACER-Concesionaria Víal Uníon del Sur,2017Abr,1.087284102-77.4086552
1998554950,6296,EL PLACER-Concesionaria Víal Uníon del Sur,2017Ago,1.087284102-77.4086552
2236577450,7085,EL PLACER-Concesionaria Víal Uníon del Sur,2017Dic,1.087284102-77.4086552
2049444200,6797,EL PLACER-Concesionaria Víal Uníon del Sur,2017Ene,1.087284102-77.4086552
1716857800,5940,EL PLACER-Concesionaria Víal Uníon del Sur,2017Feb,1.087284102-77.4086552
2038911700,6395,EL PLACER-Concesionaria Víal Uníon del Sur,2017Jul,1.087284102-77.4086552
1843700300,5924,EL PLACER-Concesionaria Víal Uníon del Sur,2017Jun,1.087284102-77.4086552
1771840600,5569,EL PLACER-Concesionaria Víal Uníon del Sur,2017Mar,1.087284102-77.4086552
1829400050,5735,EL PLACER-Concesionaria Víal Uníon del Sur,2017May,1.087284102-77.4086552
1873566900,6075,EL PLACER-Concesionaria Víal Uníon del Sur,2017Nov,1.087284102-77.4086552
1885397550,5907,EL PLACER-Concesionaria Víal Uníon del Sur,2017Oct,1.087284102-77.4086552
1855225450,5985,EL PLACER-Concesionaria Víal Uníon del Sur,2017Sep,1.087284102-77.4086552
1985467250,183944,EL PLACER-Concesionaria Víal Uníon del Sur,2018Abr,1.087284102-77.4086552
2112929000,195734,EL PLACER-Concesionaria Víal Uníon del Sur,2018Ago,1.087284102-77.4086552
2145544250,198026,EL PLACER-Concesionaria Víal Uníon del Sur,2018Dic,1.087284102-77.4086552
2174293050,212383,EL PLACER-Concesionaria Víal Uníon del Sur,2018Ene,1.087284102-77.4086552
1797840150,166550,EL PLACER-Concesionaria Víal Uníon del Sur,2018Feb,1.087284102-77.4086552
2166842200,202059,EL PLACER-Concesionaria Víal Uníon del Sur,2018Jul,1.087284102-77.4086552
2027698900,187283,EL PLACER-Concesionaria Víal Uníon del Sur,2018Jun,1.087284102-77.4086552
2109521350,197465,EL PLACER-Concesionaria Víal Uníon del Sur,2018Mar,1.087284102-77.4086552
2034015650,188553,EL PLACER-Concesionaria Víal Uníon del Sur,2018May,1.087284102-77.4086552
1892676900,172724,EL PLACER-Concesionaria Víal Uníon del Sur,2018Nov,1.087284102-77.4086552
1981968850,182497,EL PLACER-Concesionaria Víal Uníon del Sur,2018Oct,1.087284102-77.4086552
1946893000,179559,EL PLACER-Concesionaria Víal Uníon del Sur,2018Sep,1.087284102-77.4086552
775343900,89415,ALTAMIRA-Concesión Aliadas para El Progreso,2016Abr,2.142914046-75.70059274
899136600,104534,ALTAMIRA-Concesión Aliadas para El Progreso,2016Ago,2.142914046-75.70059274
1083914600,125534,ALTAMIRA-Concesión Aliadas para El Progreso,2016Dic,2.142914046-75.70059274
897229200,111120,ALTAMIRA-Concesión Aliadas para El Progreso,2016Ene,2.142914046-75.70059274
727568200,84031,ALTAMIRA-Concesión Aliadas para El Progreso,2016Feb,2.142914046-75.70059274
797252500,97479,ALTAMIRA-Concesión Aliadas para El Progreso,2016Jul,2.142914046-75.70059274
782643600,92988,ALTAMIRA-Concesión Aliadas para El Progreso,2016Jun,2.142914046-75.70059274
849542000,101005,ALTAMIRA-Concesión Aliadas para El Progreso,2016Mar,2.142914046-75.70059274
836189800,96922,ALTAMIRA-Concesión Aliadas para El Progreso,2016May,2.142914046-75.70059274
976688000,111004,ALTAMIRA-Concesión Aliadas para El Progreso,2016Nov,2.142914046-75.70059274
986426700,113812,ALTAMIRA-Concesión Aliadas para El Progreso,2016Oct,2.142914046-75.70059274
890835600,101744,ALTAMIRA-Concesión Aliadas para El Progreso,2016Sep,2.142914046-75.70059274
945317700,3524,ALTAMIRA-Concesión Aliadas para El Progreso,2017Abr,2.142914046-75.70059274
937030100,3309,ALTAMIRA-Concesión Aliadas para El Progreso,2017Ago,2.142914046-75.70059274
1047607000,3804,ALTAMIRA-Concesión Aliadas para El Progreso,2017Dic,2.142914046-75.70059274
1026025200,3804,ALTAMIRA-Concesión Aliadas para El Progreso,2017Ene,2.142914046-75.70059274
831348800,3175,ALTAMIRA-Concesión Aliadas para El Progreso,2017Feb,2.142914046-75.70059274
937902900,3318,ALTAMIRA-Concesión Aliadas para El Progreso,2017Jul,2.142914046-75.70059274
907360800,3314,ALTAMIRA-Concesión Aliadas para El Progreso,2017Jun,2.142914046-75.70059274
922533400,3191,ALTAMIRA-Concesión Aliadas para El Progreso,2017Mar,2.142914046-75.70059274
859769500,3065,ALTAMIRA-Concesión Aliadas para El Progreso,2017May,2.142914046-75.70059274
909386800,3364,ALTAMIRA-Concesión Aliadas para El Progreso,2017Nov,2.142914046-75.70059274
913620100,3271,ALTAMIRA-Concesión Aliadas para El Progreso,2017Oct,2.142914046-75.70059274
862162100,3159,ALTAMIRA-Concesión Aliadas para El Progreso,2017Sep,2.142914046-75.70059274
832832200,93962,ALTAMIRA-Concesión Aliadas para El Progreso,2018Abr,2.142914046-75.70059274
878398600,94174,ALTAMIRA-Concesión Aliadas para El Progreso,2018Ago,2.142914046-75.70059274
1088629800,112008,ALTAMIRA-Concesión Aliadas para El Progreso,2018Dic,2.142914046-75.70059274
1052404750,101016,ALTAMIRA-Concesión Aliadas para El Progreso,2018Ene,2.142914046-75.70059274
820941300,85340,ALTAMIRA-Concesión Aliadas para El Progreso,2018Feb,2.142914046-75.70059274
878718500,97179,ALTAMIRA-Concesión Aliadas para El Progreso,2018Jul,2.142914046-75.70059274
842452800,91076,ALTAMIRA-Concesión Aliadas para El Progreso,2018Jun,2.142914046-75.70059274
964838000,98276,ALTAMIRA-Concesión Aliadas para El Progreso,2018Mar,2.142914046-75.70059274
883287900,93823,ALTAMIRA-Concesión Aliadas para El Progreso,2018May,2.142914046-75.70059274
951010200,88780,ALTAMIRA-Concesión Aliadas para El Progreso,2018Nov,2.142914046-75.70059274
946871200,89538,ALTAMIRA-Concesión Aliadas para El Progreso,2018Oct,2.142914046-75.70059274
851838800,88958,ALTAMIRA-Concesión Aliadas para El Progreso,2018Sep,2.142914046-75.70059274
1988033000,186438,TUNIA-INVIAS,2016Abr,2.701690113-76.53681132
2430319800,225164,TUNIA-INVIAS,2016Ago,2.701690113-76.53681132
2503449600,246716,TUNIA-INVIAS,2016Dic,2.701690113-76.53681132
2281270900,239447,TUNIA-INVIAS,2016Ene,2.701690113-76.53681132
1967118300,183591,TUNIA-INVIAS,2016Feb,2.701690113-76.53681132
2040237900,214002,TUNIA-INVIAS,2016Jul,2.701690113-76.53681132
1358423100,133276,TUNIA-INVIAS,2016Jun,2.701690113-76.53681132
2305675800,226546,TUNIA-INVIAS,2016Mar,2.701690113-76.53681132
2111622100,201084,TUNIA-INVIAS,2016May,2.701690113-76.53681132
2231469450,214318,TUNIA-INVIAS,2016Nov,2.701690113-76.53681132
2209695700,212793,TUNIA-INVIAS,2016Oct,2.701690113-76.53681132
2113931150,199745,TUNIA-INVIAS,2016Sep,2.701690113-76.53681132
2377006000,7554,TUNIA-INVIAS,2017Abr,2.701690113-76.53681132
2493916400,7356,TUNIA-INVIAS,2017Ago,2.701690113-76.53681132
2715139700,8281,TUNIA-INVIAS,2017Dic,2.701690113-76.53681132
2488709950,7992,TUNIA-INVIAS,2017Ene,2.701690113-76.53681132
2047484100,6511,TUNIA-INVIAS,2017Feb,2.701690113-76.53681132
2544124600,7620,TUNIA-INVIAS,2017Jul,2.701690113-76.53681132
2341211100,7120,TUNIA-INVIAS,2017Jun,2.701690113-76.53681132
2188276350,6465,TUNIA-INVIAS,2017Mar,2.701690113-76.53681132
2209181000,6585,TUNIA-INVIAS,2017May,2.701690113-76.53681132
2065749300,6036,TUNIA-INVIAS,2017Nov,2.701690113-76.53681132
2333679750,6705,TUNIA-INVIAS,2017Oct,2.701690113-76.53681132
2306203500,6826,TUNIA-INVIAS,2017Sep,2.701690113-76.53681132
2445795550,214390,TUNIA-INVIAS,2018Abr,2.701690113-76.53681132
2640026200,229114,TUNIA-INVIAS,2018Ago,2.701690113-76.53681132
0,0,TUNIA-INVIAS,2018Dic,2.701690113-76.53681132
2706814200,257357,TUNIA-INVIAS,2018Ene,2.701690113-76.53681132
2186328400,185831,TUNIA-INVIAS,2018Feb,2.701690113-76.53681132
2696347300,241636,TUNIA-INVIAS,2018Jul,2.701690113-76.53681132
2457925500,218417,TUNIA-INVIAS,2018Jun,2.701690113-76.53681132
2611886750,235556,TUNIA-INVIAS,2018Mar,2.701690113-76.53681132
2381986600,208193,TUNIA-INVIAS,2018May,2.701690113-76.53681132
0,0,TUNIA-INVIAS,2018Nov,2.701690113-76.53681132
2613248400,228591,TUNIA-INVIAS,2018Oct,2.701690113-76.53681132
2456653400,211439,TUNIA-INVIAS,2018Sep,2.701690113-76.53681132
1225580400,148280,LOS CAUCHOS-Concesión Aliadas para El Progreso,2016Abr,2.785583797-75.30193609
1361228150,164369,LOS CAUCHOS-Concesión Aliadas para El Progreso,2016Ago,2.785583797-75.30193609
1567409064,190735,LOS CAUCHOS-Concesión Aliadas para El Progreso,2016Dic,2.785583797-75.30193609
1383821850,178548,LOS CAUCHOS-Concesión Aliadas para El Progreso,2016Ene,2.785583797-75.30193609
1166403750,142711,LOS CAUCHOS-Concesión Aliadas para El Progreso,2016Feb,2.785583797-75.30193609
1269069650,160506,LOS CAUCHOS-Concesión Aliadas para El Progreso,2016Jul,2.785583797-75.30193609
1263578800,155178,LOS CAUCHOS-Concesión Aliadas para El Progreso,2016Jun,2.785583797-75.30193609
1312718150,163229,LOS CAUCHOS-Concesión Aliadas para El Progreso,2016Mar,2.785583797-75.30193609
1299439900,158264,LOS CAUCHOS-Concesión Aliadas para El Progreso,2016May,2.785583797-75.30193609
1393672350,165432,LOS CAUCHOS-Concesión Aliadas para El Progreso,2016Nov,2.785583797-75.30193609
1409495800,169879,LOS CAUCHOS-Concesión Aliadas para El Progreso,2016Oct,2.785583797-75.30193609
1324864300,157680,LOS CAUCHOS-Concesión Aliadas para El Progreso,2016Sep,2.785583797-75.30193609
1356628500,5296,LOS CAUCHOS-Concesión Aliadas para El Progreso,2017Abr,2.785583797-75.30193609
1410243450,5216,LOS CAUCHOS-Concesión Aliadas para El Progreso,2017Ago,2.785583797-75.30193609
1599764450,6063,LOS CAUCHOS-Concesión Aliadas para El Progreso,2017Dic,2.785583797-75.30193609
1439550750,5557,LOS CAUCHOS-Concesión Aliadas para El Progreso,2017Ene,2.785583797-75.30193609
1122225400,4568,LOS CAUCHOS-Concesión Aliadas para El Progreso,2017Feb,2.785583797-75.30193609
1442567850,5357,LOS CAUCHOS-Concesión Aliadas para El Progreso,2017Jul,2.785583797-75.30193609
1380126950,5315,LOS CAUCHOS-Concesión Aliadas para El Progreso,2017Jun,2.785583797-75.30193609
1341164500,4927,LOS CAUCHOS-Concesión Aliadas para El Progreso,2017Mar,2.785583797-75.30193609
1297133300,4880,LOS CAUCHOS-Concesión Aliadas para El Progreso,2017May,2.785583797-75.30193609
1353968700,5218,LOS CAUCHOS-Concesión Aliadas para El Progreso,2017Nov,2.785583797-75.30193609
1378981400,5153,LOS CAUCHOS-Concesión Aliadas para El Progreso,2017Oct,2.785583797-75.30193609
1331761050,5083,LOS CAUCHOS-Concesión Aliadas para El Progreso,2017Sep,2.785583797-75.30193609
1296809300,143921,LOS CAUCHOS-Concesión Aliadas para El Progreso,2018Abr,2.785583797-75.30193609
1395656350,155363,LOS CAUCHOS-Concesión Aliadas para El Progreso,2018Ago,2.785583797-75.30193609
1633511100,183518,LOS CAUCHOS-Concesión Aliadas para El Progreso,2018Dic,2.785583797-75.30193609
1516525750,175755,LOS CAUCHOS-Concesión Aliadas para El Progreso,2018Ene,2.785583797-75.30193609
1221803700,134753,LOS CAUCHOS-Concesión Aliadas para El Progreso,2018Feb,2.785583797-75.30193609
1392117700,157955,LOS CAUCHOS-Concesión Aliadas para El Progreso,2018Jul,2.785583797-75.30193609
1321953700,150635,LOS CAUCHOS-Concesión Aliadas para El Progreso,2018Jun,2.785583797-75.30193609
