No.;SiglaProyecto;NombreProyecto;NombreEstacionPeaje; 2016Ene ; 2016Feb ; 2016Mar ; 2016Abr ; 2016May ; 2016Jun ; 2016Jul ; 2016Ago ; 2016Sep ; 2016Oct ; 2016Nov ; 2016Dic ; 2017Ene ; 2017Feb ; 2017Mar ; 2017Abr ; 2017May ; 2017Jun ; 2017Jul ; 2017Ago ; 2017Sep ; 2017Oct ; 2017Nov ; 2017Dic ; 2018Ene ; 2018Feb ; 2018Mar ; 2018Abr ; 2018May ; 2018Jun ; 2018Jul ; 2018Ago ; 2018Sept ; 2018Oct ; 2018Nov ; 2018Dic 
1;APM;ARMENIA-PEREIRA-MANIZALES;CIRCASIA; 272.350 ; 191.931 ; 237.172 ; 196.234 ; 216.590 ; 219.414 ; 237.731 ; 230.308 ; 207.972 ; 233.360 ; 224.161 ; 269.845 ; 9.060 ; 7.007 ; 7.006 ; 7.992 ; 7.020 ; 7.778 ; 7.940 ; 7.737 ; 7.250 ; 7.766 ; 7.780 ; 9.293 ; 289.888 ; 203.841 ; 254.102 ; 219.547 ; 222.486 ; 199.905 ; 256.688 ; 247.892 ; 230.464 ; 247.173 ; 240.944 ; 300.383 
2;APM;ARMENIA-PEREIRA-MANIZALES;COROZAL; 229.713 ; 159.011 ; 201.959 ; 163.674 ; 181.470 ; 174.883 ; 186.880 ; 204.749 ; 179.382 ; 193.508 ; 186.849 ; 220.990 ; 7.368 ; 5.707 ; 5.538 ; 6.538 ; 5.074 ; 6.312 ; 6.553 ; 6.256 ; 5.941 ; 6.271 ; 6.095 ; 7.091 ; 226.678 ; 159.986 ; 198.039 ; 175.620 ; 171.792 ; 159.998 ; 204.259 ; 195.559 ; 182.830 ; 201.643 ; 190.100 ; 224.507 
3;APM;ARMENIA-PEREIRA-MANIZALES;PAVAS; 128.523 ; 88.179 ; 103.801 ; 90.936 ; 97.476 ; 97.013 ; 105.797 ; 101.695 ; 95.892 ; 108.653 ; 104.341 ; 122.900 ; 4.304 ; 3.198 ; 3.304 ; 3.598 ; 4.192 ; 3.555 ; 3.556 ; 3.551 ; 3.415 ; 3.651 ; 4.177 ; 4.307 ; 140.770 ; 102.959 ; 117.668 ; 107.033 ; 109.986 ; 93.357 ; 118.587 ; 118.063 ; 104.595 ; 114.612 ; 109.240 ; 128.892 
4;APM;ARMENIA-PEREIRA-MANIZALES;SAN BERNARDO; 111.341 ; 80.790 ; 98.452 ; 82.138 ; 93.916 ; 90.960 ; 102.911 ; 98.189 ; 89.227 ; 99.515 ; 95.606 ; 122.625 ; 3.755 ; 2.974 ; 2.926 ; 2.908 ; 2.681 ; 3.168 ; 3.320 ; 3.133 ; 3.214 ; 3.057 ; 3.498 ; 3.906 ; 98.673 ; 53.077 ; 79.091 ; 67.491 ; 61.570 ; 58.360 ; 71.016 ; 69.836 ; 66.403 ; 73.853 ; 76.567 ; 100.459 
5;APM;ARMENIA-PEREIRA-MANIZALES;SANTAGUEDA; 138.482 ; 89.924 ; 120.544 ; 88.754 ; 101.169 ; 93.851 ; 101.415 ; 116.768 ; 94.668 ; 106.737 ; 100.826 ; 125.486 ; 4.413 ; 3.077 ; 3.038 ; 3.620 ; 2.835 ; 3.504 ; 3.443 ; 3.435 ; 3.102 ; 3.339 ; 3.274 ; 4.002 ; 91.233 ; 12.290 ; 59.931 ; 70.013 ; 58.064 ; 57.158 ; 73.155 ; 72.017 ; 62.237 ; 70.119 ; 67.190 ; 93.636 
6;APM;ARMENIA-PEREIRA-MANIZALES;TARAPACA I; 102.351 ; 79.860 ; 87.081 ; 80.870 ; 83.168 ; 72.835 ; 80.616 ; 151.346 ; 165.040 ; 99.615 ; 93.678 ; 101.941 ; 3.541 ; 3.039 ; 2.902 ; 2.955 ; 2.743 ; 2.947 ; 2.951 ; 2.941 ; 2.832 ; 2.874 ; 2.802 ; 3.383 ; 96.067 ; 59.858 ; 69.606 ; 72.441 ; 71.817 ; 60.035 ; 73.961 ; 73.372 ; 69.485 ; 74.292 ; 69.941 ; 80.484 
7;APM;ARMENIA-PEREIRA-MANIZALES;TARAPACA II; 290.506 ; 202.772 ; 252.465 ; 210.482 ; 233.791 ; 231.486 ; 242.645 ; 185.606 ; 138.327 ; 234.563 ; 227.970 ; 278.000 ; 9.326 ; 6.943 ; 7.103 ; 8.005 ; 7.244 ; 8.055 ; 8.072 ; 7.875 ; 7.342 ; 7.880 ; 8.081 ; 9.473 ; 276.101 ; 170.038 ; 240.857 ; 223.729 ; 221.877 ; 201.231 ; 252.421 ; 247.129 ; 221.736 ; 241.749 ; 234.737 ; 290.338 
8;SV;BOGOTÁ - SIBERIA - LA PUNTA - EL VINO - VILLETA;CAIQUERO; 275.069 ; 142.564 ; 208.017 ; 143.959 ; 175.161 ; 184.340 ; 211.533 ; 186.802 ; 159.077 ; 200.521 ; 191.994 ; 258.301 ; 9.247 ; 5.305 ; 5.522 ; 7.097 ; 5.482 ; 6.913 ; 6.857 ; 6.579 ; 5.510 ; 6.714 ; 6.530 ; 9.126 ; 297.080 ; 153.451 ; 219.167 ; 176.086 ; 176.462 ; 214.556 ; 226.198 ; 207.882 ; 173.691 ; 208.560 ; 203.104 ; 282.390 
9;SV;BOGOTÁ - SIBERIA - LA PUNTA - EL VINO - VILLETA;SIBERIA; 593.082 ; 434.027 ; 521.217 ; 453.812 ; 506.815 ; 504.687 ; 549.385 ; 509.549 ; 457.250 ; 517.612 ; 489.411 ; 577.447 ; 18.578 ; 14.895 ; 15.244 ; 17.252 ; 15.689 ; 17.215 ; 17.111 ; 16.980 ; 15.720 ; 17.219 ; 17.231 ; 20.121 ; 601.053 ; 440.175 ; 539.342 ; 480.563 ; 492.264 ; 532.519 ; 558.465 ; 543.760 ; 498.169 ; 537.613 ; 525.803 ; 636.909 
10;BV;BOGOTÁ - VILLAVICENCIO;BOQUERON I Y BOQUERON II; 438.592 ; 313.211 ; 374.909 ; 304.595 ; 340.728 ; 336.393 ; 356.542 ; 343.649 ; 317.735 ; 370.791 ; 351.529 ; 416.282 ; 13.724 ; 10.485 ; 10.884 ; 12.164 ; 10.614 ; 11.179 ; 10.926 ; 11.458 ; 10.463 ; 11.835 ; 11.571 ; 13.944 ; 424.730 ; 267.356 ; 362.131 ; 319.917 ; 309.874 ; 347.000 ; 341.511 ; 299.331 ; 283.197 ; 348.864 ; 344.823 ; 419.129 
