"row ID";"?Admon";"Cod Via";"Departamento";"Gcd Departamento";"Nombre";"Nombre Proyecto";"Responsable";"Sector";"Sigla Proyecto";"Telefono";"Telefono G";"Ubicacion";"2016AbrRecaudo";"2016AbrTrafico";"2016AgoRecaudo";"2016AgoTrafico";"2016DicRecaudo";"2016DicTrafico";"2016EneRecaudo";"2016EneTrafico";"2016FebRecaudo";"2016FebTrafico";"2016JulRecaudo";"2016JulTrafico";"2016JunRecaudo";"2016JunTrafico";"2016MarRecaudo";"2016MarTrafico";"2016MayRecaudo";"2016MayTrafico";"2016NovRecaudo";"2016NovTrafico";"2016OctRecaudo";"2016OctTrafico";"2016SepRecaudo";"2016SepTrafico";"2017AbrRecaudo";"2017AbrTrafico";"2017AgoRecaudo";"2017AgoTrafico";"2017DicRecaudo";"2017DicTrafico";"2017EneRecaudo";"2017EneTrafico";"2017FebRecaudo";"2017FebTrafico";"2017JulRecaudo";"2017JulTrafico";"2017JunRecaudo";"2017JunTrafico";"2017MarRecaudo";"2017MarTrafico";"2017MayRecaudo";"2017MayTrafico";"2017NovRecaudo";"2017NovTrafico";"2017OctRecaudo";"2017OctTrafico";"2017SepRecaudo";"2017SepTrafico";"2018AbrRecaudo";"2018AbrTrafico";"2018AgoRecaudo";"2018AgoTrafico";"2018DicRecaudo";"2018DicTrafico";"2018EneRecaudo";"2018EneTrafico";"2018FebRecaudo";"2018FebTrafico";"2018JulRecaudo";"2018JulTrafico";"2018JunRecaudo";"2018JunTrafico";"2018MarRecaudo";"2018MarTrafico";"2018MayRecaudo";"2018MayTrafico";"2018NovRecaudo";"2018NovTrafico";"2018OctRecaudo";"2018OctTrafico";"2018SepRecaudo";"2018SeptTrafico";"Cat 1";"Cat 2";"Cat 3";"Cat 4";"Cat 5";"Cat 6";"Cat 7";"Cat 8";"Cat 9";"Eje Adic 2";"Eje Adicio";"Latitud";"Longitud"
"Row0";"Concesionaria Víal Uníon del Sur";"2501";"Nariño";52;"EL PLACER";"RUMICHACA - PASTO";"Concesión ANI";"Puente Internacional Rumichaca - San Juan de Pasto";"RP";"3173682092 – 3173310921";"Móvil1: 3174275839, atiende los municipios Ipiales, Contadero e Iles Móvil 2: 3174042366, atiende a los Municipios de Imués, Yacuanquer, Tangua y Pasto";"A un Kilometro del Municipio de Tangua Km. 56+050";1757557000;0;2114986700;0;2138665250;0;1912606260;0;1643486700;0;1595026500;0;1376947400;0;1882526400;0;1846765200;0;1843770600;0;1840207400;0;1775657600;0;1851303000;"0";1998554950;"0";2236577450;"0";2049444200;"0";1716857800;"0";2038911700;"0";1843700300;"0";1771840600;"0";1829400050;"0";1873566900;"0";1885397550;"0";1855225450;"0";1985467250;0;2112929000;0;2145544250;0;2174293050;0;1797840150;0;2166842200;0;2027698900;0;2109521350;0;2034015650;0;1892676900;0;1981968850;0;1946893000;0;9900;10400;22100;28800;33200;0;0;0;0;0;0;"1,087284102";"-77,4086552"
"Row1";"Concesionaria Víal Uníon del Sur";"2501";"Nariño";52;"EL PLACER";"RUMICHACA - PASTO";"Concesión ANI";"Puente Internacional Rumichaca - San Juan de Pasto";"RP";"3173682092 – 3173310921";"Móvil1: 3174275839, atiende los municipios Ipiales, Contadero e Iles Móvil 2: 3174042366, atiende a los Municipios de Imués, Yacuanquer, Tangua y Pasto";"A un Kilometro del Municipio de Tangua Km. 56+050";1757557000;181944;2114986700;218581;2138665250;223790;1912606260;208113;1643486700;170098;1595026500;171091;1376947400;148897;1882526400;196233;1846765200;191710;1843770600;191326;1840207400;190771;1775657600;183318;1851303000;"6043,8";1998554950;"6296,483871";2236577450;"7084,83871";2049444200;"6797,419355";1716857800;"5940";2038911700;"6394,903226";1843700300;"5924,1";1771840600;"5568,612903";1829400050;"5735,387097";1873566900;"6075,033333";1885397550;"5907,451613";1855225450;"5984,766667";1985467250;183944;2112929000;195734;2145544250;198026;2174293050;212383;1797840150;166550;2166842200;202059;2027698900;187283;2109521350;197465;2034015650;188553;1892676900;172724;1981968850;182497;1946893000;179559;9900;10400;22100;28800;33200;0;0;0;0;0;0;"1,087284102";"-77,4086552"
"Row2";"INVIAS";"2502";"Nariño";52;"DAZA";"RUMICHACA - PASTO - CHACHAGUI";"INVIAS";"San Juan de Pasto - Cano";"RPC";"-1";"-1";"Vía Pasto – Mojarras Km 13 Jurisdicción municipio de Pasto Sector Daza";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";0;"0";0;"0";0;"0";0;"0";0;"0";0;"0";0;"0";0;"0";0;"0";0;"0";0;"0";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22200;29100;33600;0;0;0;0;9100;9400;"1,282159377";"-77,26949651"
"Row3";"INVIAS";"2502";"Nariño";52;"CANO";"RUMICHACA - PASTO - CHACHAGUI";"INVIAS";"San Juan de Pasto - Cano";"RPC";"-1";"-1";"Vía Pasto – Mojarras Km 36 Jurisdicción del municipio de Chachagui";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";0;"0";0;"0";0;"0";0;"0";0;"0";0;"0";0;"0";0;"0";0;"0";0;"0";0;"0";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10000;10700;0;0;0;0;0;0;0;9100;9400;"1,425456082";"-77,28445244"
"Row4";"Concesión Aliadas para El Progreso";"4504";"Huila";41;"ALTAMIRA";"SANTANA-MOCOA-NEIVA";"Concesión ANI";"Pitalito - Garzón";"SMN";"320 995 5541";"311 260 50 25  - #296";"Vía Pitalito – Garzon Km 60+500 Jurisdicción Municipio de Altamira (Llano de la Virgen)";775343900;89415;899136600;104534;1083914600;125534;897229200;111120;727568200;84031;797252500;97479;782643600;92988;849542000;101005;836189800;96922;976688000;111004;986426700;113812;890835600;101744;945317700;"3523,833333";937030100;"3308,645161";1047607000;"3803,677419";1026025200;"3804,451613";831348800;"3174,821429";937902900;"3318,354839";907360800;"3314,066667";922533400;"3190,741935";859769500;"3064,935484";909386800;"3364";913620100;"3270,741935";862162100;"3159,466667";832832200;93962;878398600;94174;1088629800;112008;1052404750;101016;820941300;85340;878718500;97179;842452800;91076;964838000;98276;883287900;93823;951010200;88780;946871200;89538;851838800;88958;8500;9300;19500;24800;27900;0;0;0;0;8400;8700;"2,142914046";"-75,70059274"
"Row5";"INVIAS";"2504";"Cauca";19;"TUNIA";"MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA";"INVIAS";"Popayán - Jamundí";"MVC";"-1";"-1";"Kilometro 31+100 Vía Panamericana Popayan – Cali";1988033000;186438;2430319800;225164;2503449600;246716;2281270900;239447;1967118300;183591;2040237900;214002;1358423100;133276;2305675800;226546;2111622100;201084;2231469450;214318;2209695700;212793;2113931150;199745;2377006000;"7554,4";2493916400;"7356,032258";2715139700;"8281,193548";2488709950;"7992,258065";2047484100;"6510,714286";2544124600;"7619,806452";2341211100;"7119,733333";2188276350;"6464,709677";2209181000;"6584,967742";2065749300;"6035,766667";2333679750;"6705,096774";2306203500;"6826,4";2445795550;214390;2640026200;229114;0;0;2706814200;257357;2186328400;185831;2696347300;241636;2457925500;218417;2611886750;235556;2381986600;208193;0;0;2613248400;228591;2456653400;211439;8600;10300;27800;36300;41800;0;0;0;0;19800;10000;"2,701690113";"-76,53681132"
"Row6";"Concesión Aliadas para El Progreso";"4505";"Huila";41;"LOS CAUCHOS";"SANTANA-MOCOA-NEIVA";"Concesión ANI";"Garzón - Neiva";"SMN";"320 995 5541";"311 260 50 25  - #296";"Vía Garzon – Neiva Km 98+499 Jurisdicción Municipio de Rivera";1225580400;148280;1361228150;164369;1567409064;190735;1383821850;178548;1166403750;142711;1269069650;160506;1263578800;155178;1312718150;163229;1299439900;158264;1393672350;165432;1409495800;169879;1324864300;157680;1356628500;"5295,7";1410243450;"5216,451613";1599764450;"6063,032258";1439550750;"5556,903226";1122225400;"4568,321429";1442567850;"5357,225806";1380126950;"5315,066667";1341164500;"4926,903226";1297133300;"4879,806452";1353968700;"5217,733333";1378981400;"5153,387097";1331761050;"5083,166667";1296809300;143921;1395656350;155363;1633511100;183518;1516525750;175755;1221803700;134753;1392117700;157955;1321953700;150635;1429173000;159997;1323148700;144695;1415271800;155233;1453270650;160183;1328419400;146853;8300;9000;19200;24400;27400;0;0;0;0;8400;8700;"2,785583797";"-75,30193609"
"Row7";"Concesión Autovía Neiva – Girardot";"4506";"Huila";41;"NEIVA";"NEIVA - ESPINAL - GIRARDOT";"Concesión ANI";"Neiva - Natagaima";"NEG";"3103424699 3153340727 – 3174340907";"667 10 30";"Vía Neiva – Castilla Km 3+700 Jurisdicción Municipio de Neiva";1641735000;0;1895569350;325307;2179109650;401437;2001079550;0;1557645900;0;1840742500;368154;657509100;119074;1790635900;0;1779634100;0;1895418400;323812;1944191550;341649;1777273900;294532;1978841000;"5103,166667";2029676150;"4848,419355";2416130550;"6136,096774";2167210500;"5678,677419";1723983200;"4408,035714";2172916650;"5369,612903";2104763800;"5307,666667";1896397500;"4475,645161";1843133900;"4464,774194";2019520300;"5037,6";2105333350;"5076,516129";1872003150;"4560,933333";2114081600;145993;2250838700;155241;2720462000;194599;2430152050;184141;1914913100;129199;2374300200;171047;2306387950;166065;2337416650;164717;2133371950;147565;2330950600;157733;2381275250;163510;2102632000;144039;11700;13900;15600;19900;33300;42700;48600;0;0;0;0;"2,97779795";"-75,30722632"
"Row8";"INVIAS";"2504";"Cauca";19;"VILLARICA";"MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA";"INVIAS";"Popayán - Jamundí";"MVC";"-1";"-1";"Kilometro 91 Vía Panamericana Jurisdicción del Municipio de Villa Rica";2617425900;277106;3233775000;330214;3352821200;364238;2937552600;330247;2640579300;272409;2890892300;318263;2185010300;237760;3028157900;321510;2807074300;295280;3067280700;316328;2994296700;316619;2989799500;300347;3109241900;"10781,03333";3386501400;"10784,03226";3649452950;"12101,22581";3319521400;"11275,12903";2830877800;"9744,107143";3455616600;"10992,93548";3115072800;"10476,86667";2998653600;"9684,709677";2965079800;"9892,935484";2827641150;"9200,566667";3229166200;"10199,58065";3177820300;"10255,7";3363717300;317608;3632112600;341067;0;0;3569589100;362643;2982301500;280022;3716513300;351726;3393585400;322113;3628838700;343165;3318184200;315641;0;0;3658232900;342988;3472156700;320338;8600;10300;27800;36300;41800;0;0;0;0;19000;9600;"3,151233082";"-76,46003183"
"Row9";"Concesión Autovía Neiva – Girardot";"4506";"Huila";41;"EL PATA";"IP - NEIVA GIRARDOT";"Concesión ANI";"Neiva - Natagaima";"IP-NEG";"3103424699 3153340727 – 3174340907";"667 10 30";"Vía Neiva – Castilla Km 54+400 Jurisdicción de Aipe";1356368700;0;1544422750;110620;1776403350;139593;1651865050;0;1229394650;0;1500580100;122051;530533200;41298;1495216700;0;1390284700;0;1479848700;109246;1515203600;115023;1371321200;97886;1675435350;"0";1632366000;"0";2046333200;"0";1796282750;"0";1365968400;"0";1802871300;"0";1719273050;"0";1543461400;"0";1493232950;"0";1653301050;"0";1701693550;"0";1506771400;"0";1660511900;0;1797044050;0;2224884950;0;2037028200;0;1500550400;0;1919087550;0;1874052800;0;1862167170;0;1658556700;0;1865765550;0;1905969200;0;1646320050;0;11700;14100;15800;20200;34400;44200;50100;0;0;0;0;"3,393809788";"-75,20373348"
